airport_full,city,country,iata,icao,latitude,longitude
Cambridge Bay Airport,Cambridge Bay,Canada,YCB,CYCB,69.1081008911,-105.13800048799999

Nanaimo Airport,Nanaimo,Canada,YCD,CYCD,49.054970224899996,-123.869862556

Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,CYCG,49.296398162799996,-117.63200378399999

Miramichi Airport,Chatham,Canada,YCH,CYCH,47.007801,-65.449203

Charlo Airport,Charlo,Canada,YCL,CYCL,47.990798999999996,-66.330299

Kugluktuk Airport,Coppermine,Canada,YCO,CYCO,67.81670379639999,-115.14399719200001

Coronation Airport,Coronation,Canada,YCT,CYCT,52.0750007629,-111.444999695

Chilliwack Airport,Chilliwack,Canada,YCW,CYCW,49.1528015137,-121.93900299100001

Clyde River Airport,Clyde River,Canada,YCY,CYCY,70.4860992432,-68.5167007446

Coral Harbour Airport,Coral Harbour,Canada,YZS,CYZS,64.1932983398,-83.3593978882

Dawson City Airport,Dawson,Canada,YDA,CYDA,64.04309844970703,-139.12800598144528

Burwash Airport,Burwash,Canada,YDB,CYDB,61.37110137939453,-139.04100036621094

Princeton Airport,Princeton,Canada,YDC,CYDC,49.468101501499994,-120.51100158700001

Deer Lake Airport,Deer Lake,Canada,YDF,CYDF,49.21080017089844,-57.39139938354492

Dease Lake Airport,Dease Lake,Canada,YDL,CYDL,58.4221992493,-130.031997681

Dauphin Barker Airport,Dauphin,Canada,YDN,CYDN,51.10079956054688,-100.052001953125

Dawson Creek Airport,Dawson Creek,Canada,YDQ,CYDQ,55.7422981262207,-120.18299865722656

Edmonton International Airport,Edmonton,Canada,YEG,CYEG,53.309700012200004,-113.580001831

Arviat Airport,Eskimo Point,Canada,YEK,CYEK,61.0942001343,-94.0708007812

Estevan Airport,Estevan,Canada,YEN,CYEN,49.210300445600005,-102.96600341799999

Edson Airport,Edson,Canada,YET,CYET,53.5788993835,-116.46499633799999

Eureka Airport,Eureka,Canada,YEU,CYEU,79.9946975708,-85.814201355

Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,CYEV,68.30419921880001,-133.483001709

Iqaluit Airport,Iqaluit,Canada,YFB,CYFB,63.756401061999995,-68.5558013916

Fredericton Airport,Fredericton,Canada,YFC,CYFC,45.86890029907226,-66.53720092773439

Forestville Airport,Forestville,Canada,\N,CYFE,48.74610137939453,-69.09719848632811

Flin Flon Airport,Flin Flon,Canada,YFO,CYFO,54.6781005859375,-101.68199920654295

Fort Resolution Airport,Fort Resolution,Canada,YFR,CYFR,61.1808013916,-113.690002441

Fort Simpson Airport,Fort Simpson,Canada,YFS,CYFS,61.76020050048828,-121.23699951171876

Kingston Norman Rogers Airport,Kingston,Canada,YGK,CYGK,44.22529983520508,-76.5969009399414

La Grande Rivière Airport,La Grande Riviere,Canada,YGL,CYGL,53.62530136108398,-77.7042007446289

Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,YGP,CYGP,48.775299072299994,-64.4785995483

Geraldton Greenstone Regional Airport,Geraldton,Canada,YGQ,CYGQ,49.77830123901367,-86.93939971923828

Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,YGR,CYGR,47.42470169067383,-61.778099060058594

Hudson Bay Airport,Hudson Bay,Canada,YHB,CYHB,52.8166999817,-102.31099700899999

Dryden Regional Airport,Dryden,Canada,YHD,CYHD,49.83169937133789,-92.74420166015624

Ulukhaktok Holman Airport,Holman Island,Canada,YHI,CYHI,70.76280212402344,-117.80599975585938

Gjoa Haven Airport,Gjoa Haven,Canada,YHK,CYHK,68.635597229,-95.8497009277

John C. Munro Hamilton International Airport,Hamilton,Canada,YHM,CYHM,43.173599243199995,-79.93499755859999

Montréal / Saint-Hubert Airport,Montreal,Canada,YHU,CYHU,45.5175018311,-73.4169006348

Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,CYHY,60.8396987915,-115.782997131

Halifax / Stanfield International Airport,Halifax,Canada,YHZ,CYHZ,44.880798339799995,-63.508598327600005

Atikokan Municipal Airport,Atikokan,Canada,YIB,CYIB,48.7738990784,-91.6386032104

Pond Inlet Airport,Pond Inlet,Canada,YIO,CYIO,72.6832962036,-77.9666976929

St Jean Airport,St. Jean,Canada,YJN,CYJN,45.29439926147461,-73.28109741210938

Stephenville Airport,Stephenville,Canada,YJT,CYJT,48.5442008972168,-58.54999923706055

Kamloops Airport,Kamloops,Canada,YKA,CYKA,50.702201843299996,-120.444000244

Waterloo Airport,Waterloo,Canada,YKF,CYKF,43.4608001709,-80.3786010742

Schefferville Airport,Schefferville,Canada,YKL,CYKL,54.80530166625977,-66.8052978515625

Kindersley Airport,Kindersley,Canada,YKY,CYKY,51.5175018311,-109.180999756

Buttonville Municipal Airport,Toronto,Canada,YKZ,CYKZ,43.86220169067383,-79.37000274658203

Chapleau Airport,Chapleau,Canada,YLD,CYLD,47.81999969482422,-83.3467025756836

Meadow Lake Airport,Meadow Lake,Canada,YLJ,CYLJ,54.12530136108398,-108.52300262451172

Lloydminster Airport,Lloydminster,Canada,YLL,CYLL,53.30920028686523,-110.072998046875

Alert Airport,Alert,Canada,YLT,CYLT,82.51779937740001,-62.280601501499994

Kelowna International Airport,Kelowna,Canada,YLW,CYLW,49.9561004639,-119.377998352

Mayo Airport,Mayo,Canada,YMA,CYMA,63.61640167236328,-135.86799621582028

Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,YMJ,CYMJ,50.330299377441406,-105.55899810791016

Fort McMurray Airport,Fort Mcmurray,Canada,YMM,CYMM,56.653301238999994,-111.22200012200001

Moosonee Airport,Moosonee,Canada,YMO,CYMO,51.291099548339844,-80.60780334472656

Maniwaki Airport,Maniwaki,Canada,YMW,CYMW,46.272800445600005,-75.9906005859

Montreal International (Mirabel) Airport,Montreal,Canada,YMX,CYMX,45.67950057979999,-74.0386962891

Natashquan Airport,Natashquan,Canada,YNA,CYNA,50.18999862670898,-61.78919982910156

Ottawa / Gatineau Airport,Gatineau,Canada,YND,CYND,45.5217018127,-75.5635986328

Matagami Airport,Matagami,Canada,YNM,CYNM,49.76169967651367,-77.80280303955078

Old Crow Airport,Old Crow,Canada,YOC,CYOC,67.57060241699219,-139.83900451660156

CFB Cold Lake,Cold Lake,Canada,YOD,CYOD,54.40499877929688,-110.27899932861328

High Level Airport,High Level,Canada,YOJ,CYOJ,58.62139892578125,-117.16500091552734

Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,YOW,CYOW,45.3224983215332,-75.66919708251953

Prince Albert Glass Field,Prince Albert,Canada,YPA,CYPA,53.214199066199996,-105.672996521

Peace River Airport,Peace River,Canada,YPE,CYPE,56.22689819335938,-117.4469985961914

Southport Airport,Portage-la-prairie,Canada,YPG,CYPG,49.903099,-98.27381700000001

Pitt Meadows Airport,Pitt Meadows,Canada,\N,CYPK,49.21609878540039,-122.70999908447266

Pickle Lake Airport,Pickle Lake,Canada,YPL,CYPL,51.4463996887207,-90.21420288085938

Port Menier Airport,Port Menier,Canada,YPN,CYPN,49.83639907836914,-64.28859710693361

Peterborough Airport,Peterborough,Canada,YPQ,CYPQ,44.22999954223633,-78.36329650878906

Prince Rupert Airport,Prince Pupert,Canada,YPR,CYPR,54.2860984802,-130.445007324

Fort Chipewyan Airport,Fort Chipewyan,Canada,YPY,CYPY,58.7672004699707,-111.11699676513672

Muskoka Airport,Muskoka,Canada,YQA,CYQA,44.974700927734375,-79.30329895019531

Quebec Jean Lesage International Airport,Quebec,Canada,YQB,CYQB,46.7911,-71.393303

Red Deer Regional Airport,Red Deer Industrial,Canada,YQF,CYQF,52.18220138549805,-113.8939971923828

Windsor Airport,Windsor,Canada,YQG,CYQG,42.27560043334961,-82.95559692382812

Watson Lake Airport,Watson Lake,Canada,YQH,CYQH,60.11640167236328,-128.82200622558594

Kenora Airport,Kenora,Canada,YQK,CYQK,49.78829956054688,-94.36309814453124

Lethbridge County Airport,Lethbridge,Canada,YQL,CYQL,49.6302986145,-112.80000305200001

Greater Moncton International Airport,Moncton,Canada,YQM,CYQM,46.11220169067383,-64.67859649658203

Comox Airport,Comox,Canada,YQQ,CYQQ,49.71080017089844,-124.88700103759766

Regina International Airport,Regina,Canada,YQR,CYQR,50.43190002441406,-104.66600036621094

Thunder Bay Airport,Thunder Bay,Canada,YQT,CYQT,48.37189865112305,-89.32389831542969

Grande Prairie Airport,Grande Prairie,Canada,YQU,CYQU,55.1796989441,-118.885002136

Yorkton Municipal Airport,Yorkton,Canada,YQV,CYQV,51.26470184326172,-102.46199798583984

North Battleford Airport,North Battleford,Canada,YQW,CYQW,52.76919937133789,-108.24400329589844

Gander International Airport,Gander,Canada,YQX,CYQX,48.9369010925293,-54.56809997558594

Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,YQY,CYQY,46.1613998413,-60.047798156700004

Quesnel Airport,Quesnel,Canada,YQZ,CYQZ,53.026100158691406,-122.51000213623048

Resolute Bay Airport,Resolute,Canada,YRB,CYRB,74.71690368649999,-94.9693984985

Rivière-du-Loup Airport,Riviere Du Loup,Canada,YRI,CYRI,47.76440048217773,-69.58470153808594

Roberval Airport,Roberval,Canada,YRJ,CYRJ,48.52000045776367,-72.2656021118164

Rocky Mountain House Airport,Rocky Mountain House,Canada,YRM,CYRM,52.4296989441,-114.903999329

Rankin Inlet Airport,Rankin Inlet,Canada,YRT,CYRT,62.811401367200006,-92.1157989502

Sudbury Airport,Sudbury,Canada,YSB,CYSB,46.625,-80.79889678955078

Sherbrooke Airport,Sherbrooke,Canada,YSC,CYSC,45.4385986328125,-71.69139862060547

Saint John Airport,St. John,Canada,YSJ,CYSJ,45.31610107421875,-65.89029693603516

Fort Smith Airport,Fort Smith,Canada,YSM,CYSM,60.020301818847656,-111.96199798583984

Nanisivik Airport,Nanisivik,Canada,YSR,CYSR,72.982201,-84.613602

Summerside Airport,Summerside,Canada,YSU,CYSU,46.44060134887695,-63.83359909057617

Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,YSY,CYSY,71.9938964844,-125.24299621600001

Cape Dorset Airport,Cape Dorset,Canada,YTE,CYTE,64.2300033569,-76.5267028809

Thompson Airport,Thompson,Canada,YTH,CYTH,55.80110168457031,-97.86419677734376

CFB Trenton,Trenton,Canada,YTR,CYTR,44.118900299072266,-77.5280990600586

Timmins/Victor M. Power,Timmins,Canada,YTS,CYTS,48.569698333699996,-81.376701355

Billy Bishop Toronto City Centre Airport,Toronto,Canada,YTZ,CYTZ,43.627499,-79.396202

Tuktoyaktuk Airport,Tuktoyaktuk,Canada,YUB,CYUB,69.43329620361328,-133.0260009765625

Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,CYUL,45.4706001282,-73.7407989502

Repulse Bay Airport,Repulse Bay,Canada,YUT,CYUT,66.5214004517,-86.22470092770003

Hall Beach Airport,Hall Beach,Canada,YUX,CYUX,68.77610015869999,-81.2425

Rouyn Noranda Airport,Rouyn,Canada,YUY,CYUY,48.20610046386719,-78.83560180664062

La Ronge Airport,La Ronge,Canada,YVC,CYVC,55.1514015198,-105.262001038

Vermilion Airport,Vermillion,Canada,YVG,CYVG,53.355800628699996,-110.823997498

Qikiqtarjuaq Airport,Broughton Island,Canada,YVM,CYVM,67.5457992554,-64.03140258789999

Val-d'Or Airport,Val D'or,Canada,YVO,CYVO,48.0532989502,-77.7827987671

Kuujjuaq Airport,Quujjuaq,Canada,YVP,CYVP,58.09609985351562,-68.42690277099611

Norman Wells Airport,Norman Wells,Canada,YVQ,CYVQ,65.28160095214844,-126.7979965209961

Vancouver International Airport,Vancouver,Canada,YVR,CYVR,49.193901061999995,-123.183998108

Buffalo Narrows Airport,Buffalo Narrows,Canada,YVT,CYVT,55.8418998718,-108.41799926799999

Wiarton Airport,Wiarton,Canada,YVV,CYVV,44.7458,-81.107201

Petawawa Airport,Petawawa,Canada,YWA,CYWA,45.95220184326172,-77.31919860839844

Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,YWG,CYWG,49.909999847399995,-97.2398986816

Wabush Airport,Wabush,Canada,YWK,CYWK,52.92190170288086,-66.86440277099611

Williams Lake Airport,Williams Lake,Canada,YWL,CYWL,52.1831016541,-122.054000854

Wrigley Airport,Wrigley,Canada,YWY,CYWY,63.20940017700195,-123.43699645996094

Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,YXC,CYXC,49.610801696777,-115.78199768066001

Edmonton City Centre (Blatchford Field) Airport,Edmonton,Canada,YXD,CYXD,53.5724983215,-113.52100372299999

Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,YXE,CYXE,52.170799255371094,-106.6999969482422

Medicine Hat Airport,Medicine Hat,Canada,YXH,CYXH,50.01890182495117,-110.72100067138672

Fort St John Airport,Fort Saint John,Canada,YXJ,CYXJ,56.23809814453125,-120.73999786376952

Sioux Lookout Airport,Sioux Lookout,Canada,YXL,CYXL,50.11389923095703,-91.9052963256836

Pangnirtung Airport,Pangnirtung,Canada,YXP,CYXP,66.1449966431,-65.71360015869999

Earlton (Timiskaming Regional) Airport,Earlton,Canada,YXR,CYXR,47.6974006546,-79.84734535220001

Prince George Airport,Prince George,Canada,YXS,CYXS,53.8894004822,-122.679000854

Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,YXT,CYXT,54.468498,-128.576009

London Airport,London,Canada,YXU,CYXU,43.035599,-81.1539

Abbotsford Airport,Abbotsford,Canada,YXX,CYXX,49.02529907226562,-122.36100006103516

Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,YXY,CYXY,60.709598541300004,-135.067001343

North Bay Airport,North Bay,Canada,YYB,CYYB,46.36360168457031,-79.42279815673828

Calgary International Airport,Calgary,Canada,YYC,CYYC,51.113899231000005,-114.019996643

Smithers Airport,Smithers,Canada,YYD,CYYD,54.82469940185547,-127.18299865722656

Fort Nelson Airport,Fort Nelson,Canada,YYE,CYYE,58.8363990784,-122.59700012200001

Penticton Airport,Penticton,Canada,YYF,CYYF,49.46310043334961,-119.60199737548828

Charlottetown Airport,Charlottetown,Canada,YYG,CYYG,46.290000915527344,-63.12110137939453

Taloyoak Airport,Spence Bay,Canada,YYH,CYYH,69.5466995239,-93.57669830319999

Victoria International Airport,Victoria,Canada,YYJ,CYYJ,48.646900177,-123.426002502

Lynn Lake Airport,Lynn Lake,Canada,YYL,CYYL,56.86389923095703,-101.07599639892578

Swift Current Airport,Swift Current,Canada,YYN,CYYN,50.291900634799994,-107.691001892

Churchill Airport,Churchill,Canada,YYQ,CYYQ,58.73920059204102,-94.06500244140624

Goose Bay Airport,Goose Bay,Canada,YYR,CYYR,53.3191986084,-60.425800323500006

St. John's International Airport,St. John's,Canada,YYT,CYYT,47.618598938000005,-52.751899719200004

Kapuskasing Airport,Kapuskasing,Canada,YYU,CYYU,49.41389846801758,-82.46749877929688

Armstrong Airport,Armstrong,Canada,YYW,CYYW,50.29029846191406,-88.90969848632812

Mont Joli Airport,Mont Joli,Canada,YYY,CYYY,48.60860061645508,-68.20809936523439

Lester B. Pearson International Airport,Toronto,Canada,YYZ,CYYZ,43.6772003174,-79.63059997559999

Downsview Airport,Toronto,Canada,YZD,CYZD,43.74250030517578,-79.4655990600586

Gore Bay Manitoulin Airport,Gore Bay,Canada,YZE,CYZE,45.88529968261719,-82.56780242919922

Yellowknife Airport,Yellowknife,Canada,YZF,CYZF,62.46279907226562,-114.44000244140624

Slave Lake Airport,Slave Lake,Canada,YZH,CYZH,55.293098449700004,-114.777000427

Sandspit Airport,Sandspit,Canada,YZP,CYZP,53.25429916379999,-131.813995361

Chris Hadfield Airport,Sarnia,Canada,YZR,CYZR,42.9994010925293,-82.30889892578125

Port Hardy Airport,Port Hardy,Canada,YZT,CYZT,50.68059921264648,-127.36699676513672

Whitecourt Airport,Whitecourt,Canada,YZU,CYZU,54.14390182495117,-115.78700256347656

Sept-Îles Airport,Sept-iles,Canada,YZV,CYZV,50.22330093383789,-66.26560211181639

Teslin Airport,Teslin,Canada,YZW,CYZW,60.17279815673828,-132.74299621582028

CFB Greenwood,Greenwood,Canada,YZX,CYZX,44.98440170288086,-64.91690063476561

Faro Airport,Faro,Canada,ZFA,CZFA,62.20750045776367,-133.37600708007812

Fort Mcpherson Airport,Fort Mcpherson,Canada,ZFM,CZFM,67.40750122070311,-134.86099243164062

Blida Airport,Blida,Algeria,\N,DAAB,36.50360107421875,2.814169883728028

Bou Saada Airport,Bou Saada,Algeria,\N,DAAD,35.33250045776367,4.206389904022217

Soummam Airport,Bejaja,Algeria,BJA,DAAE,36.712001800500005,5.0699200630200005

Houari Boumediene Airport,Algier,Algeria,ALG,DAAG,36.691001892089844,3.215409994125366

Djanet Inedbirene Airport,Djanet,Algeria,DJG,DAAJ,24.292800903299998,9.45244026184

Boufarik Airport,Boufarik,Algeria,QFD,DAAK,36.545799,2.8761099999999997

Reggane Airport,Reggan,Algeria,\N,DAAN,26.710100173950195,0.2856470048427582

Illizi Takhamalt Airport,Illizi,Algeria,VVZ,DAAP,26.7234992981,8.62265014648

Ain Oussera Airport,Ain Oussera,Algeria,\N,DAAQ,35.52539825439453,2.8787100315093994

Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,TMR,DAAT,22.8115005493,5.45107984543

Jijel Ferhat Abbas Airport,Jijel,Algeria,GJL,DAAV,36.7951011658,5.873610019680001

Mecheria Airport,Mecheria,Algeria,\N,DAAY,33.535900116,-0.242353007197

Relizane Airport,Relizane,Algeria,\N,DAAZ,35.752201080322266,0.6262720227241516

Annaba Airport,Annaba,Algeria,AAE,DABB,36.82220077514648,7.8091697692871085

Mohamed Boudiaf International Airport,Constantine,Algeria,CZL,DABC,36.2760009765625,6.620389938354492

Cheikh Larbi Tébessi Airport,Tebessa,Algeria,TEE,DABS,35.4315986633,8.120719909670001

Hassi R'Mel Airport,Tilrempt,Algeria,HRM,DAFH,32.93040084838867,3.311539888381958

Bou Chekif Airport,Tiaret,Algeria,TID,DAOB,35.3410987854,1.4631500244100002

Bou Sfer Airport,Bou Sfer,Algeria,\N,DAOE,35.73540115356445,-0.8053889870643616

Tindouf Airport,Tindouf,Algeria,TIN,DAOF,27.700399398800002,-8.167099952700001

Ech Cheliff Airport,Ech-cheliff,Algeria,QAS,DAOI,36.212699890100005,1.33176994324

Tafaraoui Airport,Oran,Algeria,TAF,DAOL,35.54240036010742,-0.5322780013084412

Zenata – Messali El Hadj Airport,Tlemcen,Algeria,TLM,DAON,35.0167007446,-1.4500000476800001

Es Senia Airport,Oran,Algeria,ORN,DAOO,35.6239013672,-0.6211829781529999

Sidi Bel Abbes Airport,Sidi Bel Abbes,Algeria,\N,DAOS,35.1717987061,-0.593275010586

Ghriss Airport,Ghriss,Algeria,MUW,DAOV,35.207698822021484,0.14714199304580688

Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,AZR,DAUA,27.83760070800781,-0.1864140033721924

Biskra Airport,Biskra,Algeria,BSK,DAUB,34.793300628699996,5.73823022842

El Golea Airport,El Golea,Algeria,ELG,DAUE,30.5713005065918,2.8595900535583496

Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,GHA,DAUG,32.38410186767578,3.7941100597381587

Oued Irara Airport,Hassi Messaoud,Algeria,HME,DAUH,31.673000335700003,6.140439987180001

In Salah Airport,In Salah,Algeria,INZ,DAUI,27.2509994507,2.51202011108

Touggourt Sidi Madhi Airport,Touggourt,Algeria,TGR,DAUK,33.067798614501946,6.088669776916504

Laghouat Airport,Laghouat,Algeria,LOO,DAUL,33.764400482199996,2.92833995819

Timimoun Airport,Timimoun,Algeria,TMX,DAUT,29.237100601199998,0.276033014059

Ain el Beida Airport,Ouargla,Algeria,OGX,DAUU,31.917200088500977,5.412779808044434

In Aménas Airport,Zarzaitine,Algeria,IAM,DAUZ,28.0515003204,9.64291000366

Cadjehoun Airport,Cotonou,Benin,COO,DBBB,6.357230186462402,2.384350061416626

Ouagadougou Airport,Ouagadougou,Burkina Faso,OUA,DFFD,12.35319995880127,-1.5124200582504272

Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,BOY,DFOO,11.160099983215332,-4.33096981048584

Kotoka International Airport,Accra,Ghana,ACC,DGAA,5.605189800262451,-0.16678600013256073

Tamale Airport,Tamale,Ghana,TML,DGLE,9.55718994140625,-0.8632140159606934

Wa Airport,Wa,Ghana,\N,DGLW,10.0826997756958,-2.507689952850342

Sunyani Airport,Sunyani,Ghana,NYI,DGSN,7.361830234527588,-2.3287599086761475

Takoradi Airport,Takoradi,Ghana,TKD,DGTK,4.896059989929199,-1.7747600078582764

Port Bouet Airport,Abidjan,Cote d'Ivoire,ABJ,DIAP,5.261390209197998,-3.9262900352478023

Bouaké Airport,Bouake,Cote d'Ivoire,BYK,DIBK,7.738800048828125,-5.073669910430908

Daloa Airport,Daloa,Cote d'Ivoire,DJO,DIDL,6.7928099632263175,-6.473189830780028

Korhogo Airport,Korhogo,Cote d'Ivoire,HGO,DIKO,9.38718032837,-5.556660175319999

Man Airport,Man,Cote d'Ivoire,MJC,DIMN,7.2720699310302725,-7.58735990524292

San Pedro Airport,San Pedro,Cote d'Ivoire,SPY,DISP,4.746719837188722,-6.660820007324219

Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,ASK,DIYO,6.9031701088,-5.36558008194

Nnamdi Azikiwe International Airport,Abuja,Nigeria,ABV,DNAA,9.006790161132812,7.263169765472412

Akure Airport,Akure,Nigeria,AKR,DNAK,7.246739864349365,5.3010101318359375

Benin Airport,Benin,Nigeria,BNI,DNBE,6.3169798851013175,5.599500179290772

Margaret Ekpo International Airport,Calabar,Nigeria,CBQ,DNCA,4.976019859313965,8.347200393676758

Akanu Ibiam International Airport,Enugu,Nigeria,ENU,DNEN,6.4742698669433585,7.561960220336914

Gusau Airport,Gusau,Nigeria,QUS,DNGU,12.17169952392578,6.6961097717285165

Ibadan Airport,Ibadan,Nigeria,IBA,DNIB,7.362460136413574,3.97832989692688

Ilorin International Airport,Ilorin,Nigeria,ILR,DNIL,8.440210342407228,4.493919849395752

Yakubu Gowon Airport,Jos,Nigeria,JOS,DNJO,9.639829635620117,8.869050025939941

Kaduna Airport,Kaduna,Nigeria,KAD,DNKA,10.696000099182127,7.320109844207764

Mallam Aminu International Airport,Kano,Nigeria,KAN,DNKN,12.047599792480467,8.524620056152344

Maiduguri International Airport,Maiduguri,Nigeria,MIU,DNMA,11.855299949645994,13.080900192260742

Makurdi Airport,Makurdi,Nigeria,MDI,DNMK,7.7038798332214355,8.613940238952638

Murtala Muhammed International Airport,Lagos,Nigeria,LOS,DNMM,6.5773701667785645,3.321160078048706

Minna Airport,Minna,Nigeria,MXJ,DNMN,9.652170181274414,6.462259769439697

Port Harcourt International Airport,Port Hartcourt,Nigeria,PHC,DNPO,5.0154900550842285,6.94959020614624

Sadiq Abubakar III International Airport,Sokoto,Nigeria,SKO,DNSO,12.916299819946287,5.207190036773682

Yola Airport,Yola,Nigeria,YOL,DNYO,9.257550239562988,12.430399894714355

Zaria Airport,Zaria,Nigeria,ZAR,DNZA,11.130200386047363,7.685810089111327

Maradi Airport,Maradi,Niger,MFQ,DRRM,13.5024995803833,7.1267499923706055

Diori Hamani International Airport,Niamey,Niger,NIM,DRRN,13.481499671936035,2.1836099624633794

Tahoua Airport,Tahoua,Niger,THZ,DRRT,14.875699996948242,5.265359878540039

Mano Dayak International Airport,Agadez,Niger,AJY,DRZA,16.965999603271484,8.000109672546388

Dirkou Airport,Dirkou,Niger,\N,DRZD,18.968700408935547,12.86870002746582

Diffa Airport,Diffa,Niger,\N,DRZF,13.372900009155273,12.626700401306152

Zinder Airport,Zinder,Niger,ZND,DRZR,13.779000282287598,8.983759880065918

Monastir Habib Bourguiba International Airport,Monastir,Tunisia,MIR,DTMB,35.75809860229492,10.75469970703125

Tunis Carthage International Airport,Tunis,Tunisia,TUN,DTTA,36.85100173950195,10.22719955444336

Sidi Ahmed Air Base,Bizerte,Tunisia,\N,DTTB,37.2453994751,9.791449546810002

Remada Air Base,Remada,Tunisia,\N,DTTD,32.306198120117195,10.382100105285645

Gafsa Ksar International Airport,Gafsa,Tunisia,GAF,DTTF,34.42200088500977,8.822500228881836

Gabès Matmata International Airport,Gabes,Tunisia,GAE,DTTG,33.87689971923828,10.103300094604492

